更新时间,#genre#
浙江卫视,http://120.6.209.42:8866/udp/239.253.92.90:8020$订阅源
浙江卫视,http://60.2.190.206:4000/udp/239.253.92.90:8020$订阅源
浙江卫视,http://219.159.194.4:8181/tsfile/live/0124_1.m3u8$订阅源
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/1.m3u8$订阅源-IPv6
湖南卫视,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000324/index.m3u8?IASHttpSessionId=$订阅源-IPv6
湖南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000523/index.m3u8$订阅源-IPv6
湖南卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000324/index.m3u8?IASHttpSessionId=$订阅源-IPv6
湖南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000523/index.m3u8?$订阅源-IPv6
湖南卫视,http://223.166.234.215:7777/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://114.252.235.176:8000/udp/239.3.1.132:8012$订阅源
湖南卫视,http://120.6.209.42:8866/udp/239.253.92.84:8015$订阅源
湖南卫视,http://60.2.190.206:4000/udp/239.253.92.84:8015$订阅源
湖南卫视,http://219.159.194.4:8181/tsfile/live/0128_1.m3u8$订阅源
北京卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000516/index.m3u8?$订阅源-IPv6
北京卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226161/index.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000516/index.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000516/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000516$订阅源-IPv6
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225600/2/index.m3u8$订阅源-IPv6
北京卫视,http://223.166.234.215:7777/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://114.252.235.176:8000/udp/239.3.1.241:8000$订阅源
北京卫视,http://120.6.209.42:8866/udp/239.253.92.87:8014$订阅源
北京卫视,http://60.2.190.206:4000/udp/239.253.92.87:8014$订阅源
北京卫视,http://219.159.194.4:8181/tsfile/live/0122_1.m3u8$订阅源
